Date,Close,High,Low,Open,Volume
2018-01-02,40.30418395996094,40.313544878374515,39.60226502500425,39.812842847577855,102223600
2018-01-03,40.29713821411133,40.839956875906395,40.23396812254703,40.367330774880266,118071600
2018-01-04,40.484336853027344,40.587285516147695,40.262063277732224,40.369688829071734,89738400
2018-01-05,40.94527816772461,41.03184704197571,40.48903149645609,40.580280830709796,94640000
2018-01-08,40.79317092895508,41.0879754571315,40.69489918275364,40.79317092895508,82271200
2018-01-09,40.788490295410156,40.959289488524796,40.57323568638315,40.83996461171473,86336000
2018-01-10,40.779144287109375,40.78148630152458,40.47732074949381,40.51475727869783,95839600
2018-01-11,41.010772705078125,41.059908588629746,40.82593567106534,40.849330820735744,74670800
2018-01-12,41.43424606323242,41.49741972461714,41.09732462936984,41.221329939035655,101672400
2018-01-16,41.22369384765625,41.972406559387096,41.211994486349994,41.623785585266006,118263600
2018-01-17,41.9045524597168,41.939646970546875,40.961641853884466,41.21432947214807,137547200
2018-01-18,41.941993713378906,42.13853372334617,41.70568229669723,41.96773088312794,124773600
2018-01-19,41.75480651855469,42.01685503172588,41.509134252385074,41.78990102651753,129700400
2018-01-22,41.4131965637207,41.595695110424,41.31960884700095,41.48338913633179,108434400
2018-01-23,41.42257308959961,41.98411036038649,41.37110232066807,41.483408346767774,130756400
2018-01-24,40.76276397705078,41.48340102680674,40.52411058982438,41.47170166632772,204420400
2018-01-25,40.03511047363281,40.93356571913233,39.899405738092184,40.83061705285022,166116000
2018-01-26,40.12869644165039,40.24334446403802,39.78943640292996,40.24334446403802,156572000
2018-01-29,39.29808807373047,39.81282771637196,39.08985234497419,39.81282771637196,202561600
2018-01-30,39.06645584106445,39.16004357406714,38.535336352409104,38.7295342900257,184192800
2018-01-31,39.17409133911133,39.41040631577507,38.95649819798095,39.04306705153036,129915600
2018-02-01,39.25597381591797,39.452510199787405,39.0173204525661,39.113250200696385,188923200
2018-02-02,37.552650451660156,39.026680435753946,37.45906271971327,38.839501401717044,346375200
2018-02-05,36.61442947387695,38.343489490275864,36.49978143923265,37.22509903691603,290954000
2018-02-06,38.14461135864258,38.30605327216174,36.03183581681367,36.226033801905984,272975200
2018-02-07,37.328025817871094,38.231161135056325,37.21806186614332,38.158630124916996,206434400
2018-02-08,36.3008918762207,37.66963468893804,36.27281627231443,37.5035123688258,217562000
2018-02-09,36.74490737915039,37.09259809366148,35.29540922724705,36.89995995166039,282690400
2018-02-12,38.22496032714844,38.50217236916736,37.003337488277786,37.23591642711591,243278000
2018-02-13,38.607872009277344,38.70419286398582,37.97591830186138,38.04639706346999,130196800
2018-02-14,39.3197021484375,39.359639279128274,38.26488298242506,38.302468550622955,162579600
2018-02-15,40.639991760253906,40.66348229136409,39.70263246077714,39.88822307075236,204588800
2018-02-16,40.50843811035156,41.06991676593039,40.35338910191299,40.491995093642714,160704400
2018-02-20,40.3721809387207,40.938351927509956,40.271160528345504,40.41916559216763,135722000
2018-02-21,40.188934326171875,40.90545828630088,40.174835705295834,40.60240425439604,149886400
2018-02-22,40.52488327026367,40.86552649965354,40.33929262849657,40.360435185527116,123967600
