Date,Close,High,Low,Open,Volume
2018-01-02,236.5621337890625,236.59734793924068,235.35631103559285,235.74358610597346,86655700
2018-01-03,238.05845642089844,238.20809643270974,236.7293974037698,236.7293974037698,90070400
2018-01-04,239.0618896484375,239.54599709570377,238.12013238224412,238.70104520264184,80636400
2018-01-05,240.65493774414062,240.7781469850254,239.36109298194796,239.85398366654252,83524000
2018-01-08,241.0950164794922,241.25343986955644,240.26765851734245,240.5581013991269,57319200
2018-01-09,241.6407470703125,242.26565732120056,241.23585142785015,241.517510954642,57254000
2018-01-10,241.27102661132812,241.53509244774,240.21484384726023,240.8837515396786,69574300
2018-01-11,243.0313720703125,243.0313720703125,241.65831559560675,241.82554924347087,62361500
2018-01-12,244.61566162109375,244.78286839135657,242.99613310603738,243.2954130794138,90816100
2018-01-16,243.77947998046875,246.525592497555,243.08414159937195,245.8742785150605,106555100
2018-01-17,246.10313415527344,246.49040923677632,243.77951052678327,244.71248407935101,113258800
2018-01-18,245.68951416015625,246.41122976047913,245.19659656063544,245.98876733307662,100728000
2018-01-19,246.80728149414062,246.80728149414062,245.68948066001104,246.27036641848483,140920100
2018-01-22,248.81399536132812,248.81399536132812,246.54315325626433,246.59598789964468,91322400
2018-01-23,249.3422088623047,249.63265179478304,248.53244440420556,248.85810149413138,97084700
2018-01-24,249.24539184570312,250.58326130498125,248.06597267433622,249.98472803399878,134816100
2018-01-25,249.35096740722656,250.20472933165445,248.5588235370582,250.1079239839861,84587300
2018-01-26,252.2378692626953,252.28189366309874,249.93183947414482,250.1870950428048,107743100
2018-01-29,250.5656280517578,252.10591841417175,250.40720463243727,251.66583545348206,90118300
2018-01-30,247.99554443359375,250.61842153870128,247.52024734225674,248.7348805420454,131796400
2018-01-31,248.1187744140625,249.35100136441295,247.04497088721433,248.84932718998905,108364800
2018-02-01,247.8370361328125,249.13969098680522,247.04489240641502,247.3881699088178,90102500
2018-02-02,242.44168090820312,246.64887236739563,242.40646675517465,246.51682600867105,173174800
2018-02-05,232.30213928222656,242.79372681065547,231.75644081648184,240.681334388842,294681800
2018-02-06,236.8790283203125,237.38072927764424,227.69890538491987,228.7903023920032,355026800
2018-02-07,235.5940399169922,239.7219936555616,235.51480134144427,236.32456586247582,167376100
2018-02-08,226.75711059570312,236.0340652904315,226.7218964441149,235.89323554460609,246449500
2018-02-09,230.16334533691406,232.02048219017414,222.61152153411334,229.54721856312062,283565300
2018-02-12,233.54315185546875,235.01304031908876,230.3041486890838,232.21409312002078,143736000
2018-02-13,234.12411499023438,234.6698135169629,231.7564667161148,232.33737939762483,81223600
2018-02-14,237.2838897705078,237.64476096412412,232.62780526622583,232.63661551940828,120735700
2018-02-15,240.3117218017578,240.32053205712512,236.5622060480066,239.0266869632627,111200300
2018-02-16,240.38206481933594,242.32725054515024,239.64272878267326,239.68675318827144,160420100
2018-02-20,238.8770294189453,240.8750232824043,238.08488544944555,239.43153825575493,86369700
2018-02-21,237.68878173828125,241.79916815751923,237.5919763859256,239.31709396501657,98883700
2018-02-22,237.99691772460938,240.3293526121403,237.3280097266341,238.6130447638238,110511300
2018-02-23,241.79029846191406,241.79029846191406,238.74493283044296,239.22022980292311,92766400
2018-02-26,244.5980224609375,244.69485464741513,242.27439917227707,242.8640951006904,86491400
2018-02-27,241.5438995361328,245.4958623330936,241.4822814822058,244.7829033072066,99099200
2018-02-28,239.09701538085938,243.09297531932364,238.78016861084905,242.64408220128257,121907800
2018-03-01,235.62039184570312,240.4348997734121,234.12409926408978,238.8857993934386,176855100
2018-03-02,236.8350067138672,237.39832573097647,233.08551859078392,233.94806390250494,139083200
2018-03-05,239.5723876953125,240.18851464468656,235.54121233965114,235.646854823385,97307400
2018-03-06,240.17965698242188,240.6285501529497,238.68336432101546,240.54931159065572,79213200
2018-03-07,240.09164428710938,240.4437052620397,237.82082816735752,238.0144657326488,87063500
2018-03-08,241.25343322753906,241.37664246291007,239.7747612399278,240.76932595718998,66901200
2018-03-09,245.45179748535156,245.45179748535156,242.3448137270759,242.66168733754333,113625300
2018-03-12,245.14378356933594,246.36722699736953,244.75650844539223,245.7423167630409,71924800
2018-03-13,243.5594024658203,246.80721536608667,242.95208611142775,246.30551457584588,91968900
2018-03-14,242.3096923828125,244.70374501010537,241.75521035804832,244.5189176685173,105895100
2018-03-15,242.0456085205078,243.4626626446098,241.54390753995625,242.82015876545825,83433000
2018-03-16,242.30807495117188,243.3596693637448,242.25505565037898,242.5731714551364,100343700
2018-03-19,239.02951049804688,242.48474468467887,237.3770130540277,241.55688015274268,109208400
2018-03-20,239.43605041503906,240.07230891591502,238.75559119009515,239.4272048766045,59757300
2018-03-21,238.9765167236328,241.4861955710921,238.76443954354212,239.39185251338063,78709600
2018-03-22,233.00282287597656,237.5979999945079,232.72885384939002,236.74966416722836,148785900
2018-03-23,228.03643798828125,233.771610570164,227.84202490130033,233.44464923481146,183534800
2018-03-26,234.27528381347656,234.55807137654898,229.23826181576712,231.64190216567016,141956100
2018-03-27,230.2899169921875,235.74227623602687,228.73461195251602,235.21208312533292,129941400
2018-03-28,229.60939025878906,232.09258645062064,228.50477665506375,230.42239773709733,146452300
2018-03-29,232.5432586669922,234.40786051928043,229.61824389857856,230.7493671899762,111601600
2018-04-02,227.52394104003906,232.5256357361147,225.04960334539643,232.013079812993,186286300
2018-04-03,230.4401092529297,230.91730997897946,226.9672098407095,228.76110162347888,119956900
2018-04-04,232.9055938720703,233.6125358728964,226.7551121669355,226.88766042107682,123715300
2018-04-05,234.74371337890625,235.62740446622072,233.57723467130435,234.66415744910958,82652600
2018-04-06,229.51223754882812,234.27531822190647,227.992287884209,232.78190517782255,179521200
2018-04-09,230.64334106445312,234.03671112210202,229.70663080225304,230.970302405471,105442900
2018-04-10,234.31069946289062,235.09719751911547,232.3931047987183,233.5330469478276,103529000
